 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
   186    -0.000164242    -0.000662490      0.000000030 ***************
   187    -0.000058939    -0.000640620     -0.000000002     0.000000164
   188    -0.000048138    -0.000642028     -0.000000002     0.000000007
   189    -0.000070084    -0.000639125      0.000000010    -0.000000186
   190    -0.000037282    -0.000643288      0.000000008    -0.000000007
   191    -0.000026101    -0.000644212     -0.000000004    -0.000000015
   192    -0.000082610    -0.000638328     -0.000000020    -0.000000007
   193    -0.000014661    -0.000645088      0.000000001    -0.000000261
   194    -0.000002839    -0.000645543     -0.000000004     0.000000045
   195     0.000010924    -0.000646024      0.000000020    -0.000000048
   196     0.000024709    -0.000646504      0.000000008    -0.000000130
   197     0.000038661    -0.000647001     -0.000000008    -0.000000104
   198     0.000052918    -0.000647426      0.000000007    -0.000000030
   199    -0.000095490    -0.000637331     -0.000000018     0.000000123
   200     0.000067221    -0.000647662      0.000000024    -0.000000045
   201    -0.000108773    -0.000650350      0.000000018    -0.000000037
   202    -0.000108498    -0.000636409      0.000000026     0.000000075
   203    -0.000122059    -0.000649725      0.000000032     0.000000130
   204    -0.000135943    -0.000649093     -0.000000055    -0.000000082
   205    -0.000150026    -0.000648619     -0.000000018     0.000000101
   206    -0.000164137    -0.000648475      0.000000013 ***************
   207    -0.000059193    -0.000626617      0.000000001     0.000000007
   208    -0.000048118    -0.000627978     -0.000000005     0.000000246
   209    -0.000070555    -0.000625225      0.000000013    -0.000000034
   210    -0.000037111    -0.000629081     -0.000000018     0.000000015
   211    -0.000082684    -0.000624172     -0.000000001     0.000000045
   212    -0.000025803    -0.000630144      0.000000003    -0.000000037
   213    -0.000014349    -0.000630858      0.000000004     0.000000000
   214    -0.000095307    -0.000623187     -0.000000003    -0.000000004
   215    -0.000002486    -0.000631567     -0.000000007     0.000000067
   216     0.000010840    -0.000631981      0.000000018     0.000000052
   217     0.000024316    -0.000632443     -0.000000005     0.000000007
   218     0.000038426    -0.000632934     -0.000000004    -0.000000030
   219     0.000052753    -0.000633397      0.000000007    -0.000000022
   220     0.000067124    -0.000633647     -0.000000001    -0.000000045
   221    -0.000107961    -0.000622456      0.000000016     0.000000019
   222    -0.000121925    -0.000635730     -0.000000007    -0.000000101
   223    -0.000121647    -0.000621789     -0.000000007     0.000000045
   224    -0.000135754    -0.000635114     -0.000000012     0.000000112
   225    -0.000149866    -0.000634619      0.000000018    -0.000000026
   226    -0.000164010    -0.000634459      0.000000018 ***************
   227    -0.000059197    -0.000612755      0.000000009     0.000000067
   228    -0.000048132    -0.000614128     -0.000000025     0.000000045
   229    -0.000070686    -0.000611236      0.000000023    -0.000000052
   230    -0.000036999    -0.000615256      0.000000015     0.000000030
   231    -0.000082583    -0.000609964     -0.000000003    -0.000000130
   232    -0.000025693    -0.000616118      0.000000015    -0.000000101
   233    -0.000094516    -0.000608791     -0.000000028     0.000000119
   234    -0.000014663    -0.000616718      0.000000007    -0.000000104
   235    -0.000002091    -0.000617307     -0.000000007     0.000000034
   236    -0.000107694    -0.000608450     -0.000000005     0.000000071
   237     0.000010546    -0.000617830      0.000000010     0.000000015
   238     0.000024320    -0.000618310      0.000000018     0.000000168
   239     0.000038230    -0.000618875      0.000000019     0.000000048
   240     0.000052593    -0.000619366      0.000000021     0.000000034
   241     0.000067003    -0.000619632     -0.000000003     0.000000026
   242    -0.000121421    -0.000607811     -0.000000004     0.000000130
   243    -0.000135575    -0.000621118     -0.000000004     0.000000034
   244    -0.000135427    -0.000607099     -0.000000009    -0.000000086
   245    -0.000149667    -0.000620602      0.000000000    -0.000000145
   246    -0.000163861    -0.000620445      0.000000004 ***************
   247    -0.000059264    -0.000598831      0.000000002     0.000000086
   248    -0.000048184    -0.000600644     -0.000000007     0.000000056
   249    -0.000070518    -0.000596978     -0.000000006    -0.000000034
   250    -0.000037016    -0.000601769      0.000000008    -0.000000123
   251    -0.000082270    -0.000595680      0.000000019     0.000000030
   252    -0.000025535    -0.000602263      0.000000016     0.000000071
   253    -0.000094433    -0.000594765      0.000000033     0.000000019
   254    -0.000014077    -0.000602664     -0.000000010     0.000000045
   255    -0.000107521    -0.000594425     -0.000000017     0.000000075
   256    -0.000002161    -0.000603175     -0.000000008    -0.000000078
   257     0.000010466    -0.000603665      0.000000000    -0.000000101
   258    -0.000121196    -0.000593831     -0.000000004     0.000000078
   259     0.000024143    -0.000604217     -0.000000007     0.000000026
   260     0.000038077    -0.000604804      0.000000014     0.000000142
   261     0.000052437    -0.000605336      0.000000005    -0.000000037
   262     0.000066858    -0.000605622     -0.000000001     0.000000067
   263    -0.000135219    -0.000593099      0.000000025    -0.000000007
   264    -0.000149735    -0.000606302     -0.000000016    -0.000000011
   265    -0.000149544    -0.000592291      0.000000043    -0.000000004
   266    -0.000163686    -0.000606434      0.000000001 ***************
   267    -0.000058573    -0.000584490     -0.000000015    -0.000000022
   268    -0.000047812    -0.000587919      0.000000019     0.000000104
   269    -0.000069404    -0.000582442     -0.000000003     0.000000041
   270    -0.000036735    -0.000588763     -0.000000016    -0.000000108
   271    -0.000081584    -0.000581461      0.000000005     0.000000093
   272    -0.000026102    -0.000588335     -0.000000015     0.000000004
   273    -0.000094108    -0.000580833      0.000000021    -0.000000022
   274    -0.000014367    -0.000588542      0.000000002    -0.000000048
   275    -0.000107293    -0.000580410     -0.000000030     0.000000056
   276    -0.000002438    -0.000588986     -0.000000005    -0.000000108
   277    -0.000120945    -0.000579829     -0.000000008     0.000000015
   278     0.000010257    -0.000589497     -0.000000002    -0.000000060
   279     0.000023851    -0.000590133      0.000000011     0.000000138
   280    -0.000134789    -0.000579113     -0.000000007    -0.000000101
   281     0.000037941    -0.000590735      0.000000004     0.000000000
   282     0.000052279    -0.000591309     -0.000000011     0.000000212
   283     0.000066685    -0.000591619     -0.000000014    -0.000000030
   284    -0.000149327    -0.000578290     -0.000000012    -0.000000030
   285    -0.000163484    -0.000592431     -0.000000002 ***************
   286    -0.000163253    -0.000578439      0.000000001 ***************
   287    -0.000046468    -0.000577502      0.000000010     0.000000060
   288    -0.000067953    -0.000568008     -0.000000001     0.000000041
   289    -0.000054253    -0.000568987     -0.000000004    -0.000000030
   290    -0.000037795    -0.000575590      0.000000008    -0.000000045
   291    -0.000080889    -0.000567423     -0.000000014     0.000000022
   292    -0.000026988    -0.000574585     -0.000000001    -0.000000063
   293    -0.000093702    -0.000566829     -0.000000008    -0.000000037
   294    -0.000014756    -0.000574652      0.000000003     0.000000026
   295    -0.000107017    -0.000566431     -0.000000002    -0.000000026
   296    -0.000002344    -0.000574944      0.000000010     0.000000119
   297    -0.000120635    -0.000565906      0.000000016    -0.000000030
   298     0.000010063    -0.000575371      0.000000003     0.000000022
   299    -0.000134573    -0.000565112     -0.000000020    -0.000000112
   300     0.000023745    -0.000576060     -0.000000009     0.000000045
   301     0.000037808    -0.000576684     -0.000000002     0.000000104
   302    -0.000149083    -0.000564303     -0.000000003     0.000000086
   303     0.000052107    -0.000577295      0.000000008     0.000000026
   304     0.000066483    -0.000577626     -0.000000004    -0.000000004
   305    -0.000162990    -0.000564461      0.000000024 ***************
   306    -0.000040512    -0.000562988     -0.000000007     0.000000045
   307    -0.000054673    -0.000552856     -0.000000024     0.000000115
   308    -0.000067409    -0.000553638     -0.000000003    -0.000000022
   309    -0.000080456    -0.000553332      0.000000018    -0.000000164
   310    -0.000042091    -0.000550437      0.000000011    -0.000000019
   311    -0.000027736    -0.000561347      0.000000019    -0.000000123
   312    -0.000093409    -0.000552892      0.000000001    -0.000000026
   313    -0.000015257    -0.000560873     -0.000000008     0.000000093
   314    -0.000106916    -0.000552432      0.000000027     0.000000123
