 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
    58    -0.840799174    -0.827926482     -0.000000000     0.000000000
    59    -1.077789685    -0.978194096     -0.000000000     0.000000000
    60    -1.341459505    -1.120862587     -0.000000000    -0.000000000
    61    -1.634452490    -1.255333719      0.000000000    -0.000000000
    62    -1.958575899    -1.380334924     -0.000000000    -0.000000000
    63    -2.314324530    -1.493974110     -0.000000000     0.000000000
    64    -2.700703992    -1.593952431      0.000000000     0.000000000
    65    -3.115561962    -1.677939603     -0.000000000    -0.000000000
    66    -3.556913259    -1.744225907     -0.000000000     0.000000000
    67    -4.021556163    -1.795367532     -0.000000000     0.000000000
    68    -4.496848818    -1.839121922     -0.000000000    -0.000000000
    69    -4.957109280    -1.881340072      0.000000000    -0.000000000
    70    -5.378936824    -1.920943764      0.000000000    -0.000000000
    71    -5.756068579    -1.954201458      0.000000000    -0.000000000
    72    -6.094539890    -1.981312537     -0.000000000    -0.000000000
    73    -6.402848989    -2.005314526      0.000000000     0.000000000
    74    -6.689084643    -2.028660415      0.000000000     0.000000000
    75    -6.961266341    -2.053050422      0.000000000     0.000000000
    76    -7.227294422    -2.079602090     -0.000000000     0.000000000
    77    -7.494820262    -2.108933089      0.000000000    -0.000000000
    78    -7.771680183    -2.140495179     -0.000000000    -0.000000000
    79     0.000000000     0.000000000      0.027496443     0.138654070
    80    -0.095981473    -0.127821365     -0.000000000    -0.000000000
    81    -0.232888326    -0.260206075     -0.000000000    -0.000000000
    82    -0.399189644    -0.394686305      0.000000000    -0.000000000
    83    -0.588724959    -0.527779064     -0.000000000     0.000000000
    84    -0.800535804    -0.656798751     -0.000000000    -0.000000000
    85    -1.036557306    -0.780880748     -0.000000000     0.000000000
    86    -1.299646229    -0.899632762     -0.000000000     0.000000000
    87    -1.592829151    -1.012419556      0.000000000     0.000000000
    88    -1.918482470    -1.117953669      0.000000000    -0.000000000
    89    -2.277504425    -1.214233796      0.000000000     0.000000000
    90    -2.668709371    -1.298896781     -0.000000000     0.000000000
    91    -3.088765669    -1.369996537     -0.000000000    -0.000000000
